"Year","subnation","ISO","Age_group","Case_Sero","Naive_pop_all_age_year_sum","Pop_all_age_year_sum","Reference","Study_type"
"06/2003_07/2005","4_divisions","BGD","00-05",2,23628186.8189364,23628186.8189364,"M. Jahangir Hossain et al","alone"
"06/2003_07/2005","4_divisions","BGD","06-10",4,19232494.128854,19232494.128854,"M. Jahangir Hossain et al","alone"
"06/2003_07/2005","4_divisions","BGD","11-15",3,18680052.8479167,18680052.8479167,"M. Jahangir Hossain et al","alone"
"06/2003_07/2005","4_divisions","BGD","16-20",4,17759333.8017376,17759333.8017376,"M. Jahangir Hossain et al","alone"
"06/2003_07/2005","4_divisions","BGD","21-40",5,53036688.126167,53036688.126167,"M. Jahangir Hossain et al","alone"
"06/2003_07/2005","4_divisions","BGD","41-99",2,33155431.7749809,33155431.7749809,"M. Jahangir Hossain et al","alone"
"07/2010_12/2013","Cambodia_2010_2013","KHM","00-00",1,1245443.75,1219598.81666667,"Paul F Horwood et al","alone"
"07/2010_12/2013","Cambodia_2010_2013","KHM","01-05",119,5766120,5497312,"Paul F Horwood et al","alone"
"07/2010_12/2013","Cambodia_2010_2013","KHM","06-10",85,5151258,5048075,"Paul F Horwood et al","alone"
"07/2010_12/2013","Cambodia_2010_2013","KHM","11-15",30,5342681,5260134.6,"Paul F Horwood et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","00-00",12,250593.389324367,210576.298415276,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","01-01",36,250166.326873492,189097.902631067,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","02-02",86,240072.672308123,160388.225338426,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","03-03",120,233106.694939698,127277.736642104,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","04-04",100,229121.330260699,98947.6836587589,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","05-05",107,227969.498857418,75191.0074322799,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","06-06",102,229392.116176322,50264.2054309326,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","07-07",74,233130.142382463,33991.2478721802,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","08-08",59,239596.493948849,19623.4643519112,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","09-09",34,248868.101741413,4619.09244958957,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","10-10",31,260461.915645562,100,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","11-11",23,272278.905082503,15312.853173711,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","12-12",15,282892.115030951,100,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","13-13",17,298554.008083206,100,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","14-14",7,321565.31052566,100,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","15-19",6,1930061.9710939,14073.1670727014,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","20-39",2,6681878.46285484,338510.528478723,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","40-70",8,6501444.29414244,5971283.88163282,"Ye Xufang et al","alone"
"07/2006_09/2008","Shandong_Jinan","CHN","00-01",4,329803.72761514,1661.8866067168,"Zundong Yin et al","alone"
"07/2006_09/2008","Shandong_Jinan","CHN","02-04",18,479886.735888669,100,"Zundong Yin et al","alone"
"07/2006_09/2008","Shandong_Jinan","CHN","05-14",23,1682713.14310354,202477.183585961,"Zundong Yin et al","alone"
"07/2006_09/2008","Shandong_Jinan","CHN","15-29",13,3340883.74484676,548527.856273486,"Zundong Yin et al","alone"
"07/2006_09/2008","Shandong_Jinan","CHN","30-44",15,3505923.60745189,3505923.60745189,"Zundong Yin et al","alone"
"07/2006_09/2008","Shandong_Jinan","CHN","45-99",18,3980982.75502106,3980982.75502106,"Zundong Yin et al","alone"
"07/2006_09/2008","Hubei_Yichang","CHN","00-01",4,211221.26085919,174896.724167778,"Zundong Yin et al","alone"
"07/2006_09/2008","Hubei_Yichang","CHN","02-04",4,307341.224300196,307341.224300196,"Zundong Yin et al","alone"
"07/2006_09/2008","Hubei_Yichang","CHN","05-14",5,1077685.79306483,1077685.79306483,"Zundong Yin et al","alone"
"07/2006_09/2008","Hubei_Yichang","CHN","15-29",1,2139653.42985441,2139653.42985441,"Zundong Yin et al","alone"
"07/2006_09/2008","Hubei_Yichang","CHN","30-44",3,2245352.44097099,2245352.44097099,"Zundong Yin et al","alone"
"07/2006_09/2008","Hubei_Yichang","CHN","45-99",2,2549601.85882276,2549601.85882276,"Zundong Yin et al","alone"
"04/2007_09/2008","Hebei_Shijiazhuang","CHN","00-01",1,177151.057965899,130403.186101044,"Zundong Yin et al","alone"
"04/2007_09/2008","Hebei_Shijiazhuang","CHN","02-04",1,260167.011435777,260167.011435777,"Zundong Yin et al","alone"
"04/2007_09/2008","Hebei_Shijiazhuang","CHN","05-14",5,896403.166832294,896403.166832294,"Zundong Yin et al","alone"
"04/2007_09/2008","Hebei_Shijiazhuang","CHN","15-29",1,1802750.20643639,1802750.20643639,"Zundong Yin et al","alone"
"04/2007_09/2008","Hebei_Shijiazhuang","CHN","30-44",1,1886200.94273793,1886200.94273793,"Zundong Yin et al","alone"
"04/2007_09/2008","Hebei_Shijiazhuang","CHN","45-99",1,2171084.82982891,2171084.82982891,"Zundong Yin et al","alone"
"07/2013_12/2016","Baoji_Shaanxi_province","CHN","00-06",3,1111773.8659027,31420.8144963737,"Hu Wei Jun et al","alone"
"07/2013_12/2016","Baoji_Shaanxi_province","CHN","07-14",6,1188845.10681548,1009393.95442431,"Hu Wei Jun et al","alone"
"07/2013_12/2016","Baoji_Shaanxi_province","CHN","15-99",66,10711188.0851344,10258597.4656416,"Hu Wei Jun et al","alone"
"00/2015_12/2015","3_counties_Tibet_2015","CHN","01-23",13,30727.5827336995,21476.0309137882,"Hui Zhang et al","alone"
"00/2015_12/2015","3_counties_Tibet_2015","CHN","24-45",18,39118.0650160892,39118.0650160892,"Hui Zhang et al","alone"
"00/2015_12/2015","3_counties_Tibet_2015","CHN","46-99",5,39200.2996363605,39200.2996363605,"Hui Zhang et al","alone"
"06/2014_09/2014","West_Begal_2014","IND","00-09",10,631730.904250431,207038.435561684,"Yogesh K. Gurav et al","alone"
"06/2014_09/2014","West_Begal_2014","IND","10-19",19,628871.76685173,401450.341529352,"Yogesh K. Gurav et al","alone"
"06/2014_09/2014","West_Begal_2014","IND","20-39",39,1062191.89613459,1062191.89613459,"Yogesh K. Gurav et al","alone"
"06/2014_09/2014","West_Begal_2014","IND","40-59",37,660645.783698777,660645.783698777,"Yogesh K. Gurav et al","alone"
"06/2014_09/2014","West_Begal_2014","IND","60-99",32,283732.228160776,283732.228160776,"Yogesh K. Gurav et al","alone"
"09/2010_03/2013","Gorakhpur_dist_UP_2010_2013","IND","00-00",2,221438.170890759,2214.38170890759,"Nikky Nyari et al","alone"
"09/2010_03/2013","Gorakhpur_dist_UP_2010_2013","IND","01-04",16,907122.39840752,4831.20266734471,"Nikky Nyari et al","alone"
"09/2010_03/2013","Gorakhpur_dist_UP_2010_2013","IND","05-09",10,1138078.04708501,752.299716109586,"Nikky Nyari et al","alone"
"09/2010_03/2013","Gorakhpur_dist_UP_2010_2013","IND","10-14",6,1113821.3531959,100,"Nikky Nyari et al","alone"
"09/2010_03/2013","Gorakhpur_dist_UP_2010_2013","IND","15-19",4,1072717.08844154,20932.5492763577,"Nikky Nyari et al","alone"
"09/2010_03/2013","Gorakhpur_dist_UP_2010_2013","IND","20-44",2,4275433.22319619,4149456.44424244,"Nikky Nyari et al","alone"
"09/2010_03/2013","Gorakhpur_dist_UP_2010_2013","IND","45-59",1,1537068.35157374,1537068.35157374,"Nikky Nyari et al","alone"
"00/2011_12/2012","North_dist_UP_2011_2012","IND","00-00",8,2075855.32381437,1900396.41211958,"Parul Jain et al","alone"
"00/2011_12/2012","North_dist_UP_2011_2012","IND","01-04",67,8507323.08406427,4847273.02645168,"Parul Jain et al","alone"
"00/2011_12/2012","North_dist_UP_2011_2012","IND","05-14",110,21103581.1427091,100,"Parul Jain et al","alone"
"00/2011_12/2012","North_dist_UP_2011_2012","IND","15-49",58,55653705.2050625,47446634.4753054,"Parul Jain et al","alone"
"00/2011_12/2012","North_dist_UP_2011_2012","IND","50-99",13,17349403.688595,17349403.688595,"Parul Jain et al","alone"
"07/2002_02/2003","Cuddalore_2002_2003","IND","00-00",2,32101.4923541669,32101.4923541669,"Lalitha Kabilan et al","alone"
"07/2002_02/2003","Cuddalore_2002_2003","IND","01-01",0,31701.2268276845,31701.2268276845,"Lalitha Kabilan et al","alone"
"07/2002_02/2003","Cuddalore_2002_2003","IND","02-02",1,31535.6119732061,31535.6119732061,"Lalitha Kabilan et al","alone"
"07/2002_02/2003","Cuddalore_2002_2003","IND","03-03",2,31235.219171612,31235.219171612,"Lalitha Kabilan et al","alone"
"07/2002_02/2003","Cuddalore_2002_2003","IND","04-04",0,30883.4121398781,30883.4121398781,"Lalitha Kabilan et al","alone"
"07/2002_02/2003","Cuddalore_2002_2003","IND","05-05",1,30565.3394231791,30565.3394231791,"Lalitha Kabilan et al","alone"
"07/2002_02/2003","Cuddalore_2002_2003","IND","06-06",0,30276.1838483841,30276.1838483841,"Lalitha Kabilan et al","alone"
"07/2002_02/2003","Cuddalore_2002_2003","IND","07-07",3,30008.6957153156,30008.6957153156,"Lalitha Kabilan et al","alone"
"07/2002_02/2003","Cuddalore_2002_2003","IND","08-08",3,29754.1702648501,29754.1702648501,"Lalitha Kabilan et al","alone"
"07/2002_02/2003","Cuddalore_2002_2003","IND","09-09",3,29518.4831005756,29518.4831005756,"Lalitha Kabilan et al","alone"
"07/2002_02/2003","Cuddalore_2002_2003","IND","10-10",0,29308.9695860658,29308.9695860658,"Lalitha Kabilan et al","alone"
"07/2002_02/2003","Cuddalore_2002_2003","IND","11-11",0,29116.4377951601,29116.4377951601,"Lalitha Kabilan et al","alone"
"07/2002_02/2003","Cuddalore_2002_2003","IND","12-12",1,28921.6427146485,28921.6427146485,"Lalitha Kabilan et al","alone"
"07/2002_02/2003","Cuddalore_2002_2003","IND","13-13",0,28717.3275057371,28717.3275057371,"Lalitha Kabilan et al","alone"
"07/2002_02/2003","Cuddalore_2002_2003","IND","14-14",0,28477.7992435324,28477.7992435324,"Lalitha Kabilan et al","alone"
"07/2002_02/2003","Cuddalore_2002_2003","IND","15-15",0,28177.8464244625,28177.8464244625,"Lalitha Kabilan et al","alone"
"01/2001_01/2002","Pondicherry_year_before_2003","IND","00-05",54,80524.1277714955,80524.1277714955,"Raghava Potula et al","alone"
"01/2001_01/2002","Pondicherry_year_before_2003","IND","06-10",97,63614.7550072075,63614.7550072075,"Raghava Potula et al","alone"
"01/2001_01/2002","Pondicherry_year_before_2003","IND","11-15",46,61182.4791431641,61182.4791431641,"Raghava Potula et al","alone"
"01/2001_01/2002","Pondicherry_year_before_2003","IND","16-99",14,357656.345123981,357656.345123981,"Raghava Potula et al","alone"
"00/2013_12/2013","Dhemaji_2013","IND","00-05",2,82662.2863311231,70144.1529977898,"Jitendra Sharma et al","alone"
"00/2013_12/2013","Dhemaji_2013","IND","06-15",2,139619.915957178,14438.5826238443,"Jitendra Sharma et al","alone"
"00/2013_12/2013","Dhemaji_2013","IND","16-30",1,190499.285255152,140426.751921819,"Jitendra Sharma et al","alone"
"00/2013_12/2013","Dhemaji_2013","IND","31-60",3,237967.558953792,237967.558953792,"Jitendra Sharma et al","alone"
"00/2013_12/2013","Dhemaji_2013","IND","61-99",1,54610.0252826957,54610.0252826957,"Jitendra Sharma et al","alone"
"00/1995_12/1997","Bellary_(Raichur_Chitradurga_Kurnool)_1995_1997","IND","00-00",4,1111878.3947595,1111878.3947595,"Avabratha et al","alone"
"00/1995_12/1997","Bellary_(Raichur_Chitradurga_Kurnool)_1995_1997","IND","01-02",28,2182985.84835568,2182985.84835568,"Avabratha et al","alone"
"00/1995_12/1997","Bellary_(Raichur_Chitradurga_Kurnool)_1995_1997","IND","03-04",48,2137892.14545194,2137892.14545194,"Avabratha et al","alone"
"00/1995_12/1997","Bellary_(Raichur_Chitradurga_Kurnool)_1995_1997","IND","05-11",158,7141555.12538615,7141555.12538615,"Avabratha et al","alone"
"06/2004_09/2004","Bellary_2004","IND","00-00",0,11777.7692982365,11777.7692982365,"Neeru Gupta et al","alone"
"06/2004_09/2004","Bellary_2004","IND","01-04",10,46220.3508570741,46220.3508570741,"Neeru Gupta et al","alone"
"06/2004_09/2004","Bellary_2004","IND","05-11",17,77471.7328309644,77471.7328309644,"Neeru Gupta et al","alone"
"06/2004_09/2004","Bellary_2004","IND","12-99",5,369009.397013725,369009.397013725,"Neeru Gupta et al","alone"
"04/2014_04/2017","India_(assumed)_2014_2017","IND","00-00",15,70535801.6666667,63823351.2847168,"Murhekar et al","alone"
"04/2014_04/2017","India_(assumed)_2014_2017","IND","01-04",192,294491958,258127012.397078,"Murhekar et al","alone"
"04/2014_04/2017","India_(assumed)_2014_2017","IND","05-14",496,761397872.333333,620083412.61356,"Murhekar et al","alone"
"04/2014_04/2017","India_(assumed)_2014_2017","IND","15-44",316,1887095381.33333,1771216073.79253,"Murhekar et al","alone"
"04/2014_04/2017","India_(assumed)_2014_2017","IND","45-99",296,903511136,903511136,"Murhekar et al","alone"
"07/2001_12/2003","Bali","IDN","00-04",60,665883.5,665883.5,"Komang Kari et al","alone"
"07/2001_12/2003","Bali","IDN","05-09",25,547933.9,547933.9,"Komang Kari et al","alone"
"07/2001_12/2003","Bali","IDN","10-11",1,234255.64,234255.64,"Komang Kari et al","alone"
"00/2005_12/2006","6_provinces","IDN","00-00",15,2003052.21641646,2003052.21641646,"Sahat Ompusunggu et al","alone"
"00/2005_12/2006","6_provinces","IDN","01-04",43,8037408.37252487,8037408.37252487,"Sahat Ompusunggu et al","alone"
"00/2005_12/2006","6_provinces","IDN","05-09",20,10037110.0522895,10037110.0522895,"Sahat Ompusunggu et al","alone"
"00/2005_12/2006","6_provinces","IDN","10-15",4,11960506.8499833,11960506.8499833,"Sahat Ompusunggu et al","alone"
"01/2001_04/2008","Vientiane","LAO","00-04",3,162662.790095862,162662.790095862,"Catrin E. Moore et al","alone"
"01/2001_04/2008","Vientiane","LAO","05-08",9,133546.721146653,133546.721146653,"Catrin E. Moore et al","alone"
"01/2001_04/2008","Vientiane","LAO","09-12",12,134648.910260885,134648.910260885,"Catrin E. Moore et al","alone"
"01/2001_04/2008","Vientiane","LAO","13-16",4,125224.024770681,125224.024770681,"Catrin E. Moore et al","alone"
"01/2001_04/2008","Vientiane","LAO","17-20",11,107591.532880715,107591.532880715,"Catrin E. Moore et al","alone"
"01/2001_04/2008","Vientiane","LAO","21-24",5,90219.0328437251,90219.0328437251,"Catrin E. Moore et al","alone"
"01/2001_04/2008","Vientiane","LAO","25-28",4,76377.8850285798,76377.8850285798,"Catrin E. Moore et al","alone"
"01/2001_04/2008","Vientiane","LAO","29-32",3,65792.2789224121,65792.2789224121,"Catrin E. Moore et al","alone"
"01/2001_04/2008","Vientiane","LAO","33-99",1,322454.454059309,322454.454059309,"Catrin E. Moore et al","alone"
"00/2006_12/2006","Kathmandu_valley","NPL","00-00",2,20123.5105909696,20123.5105909696,"Jeffrey Partridge et al","alone"
"00/2006_12/2006","Kathmandu_valley","NPL","01-14",20,293699.695678133,293699.695678133,"Jeffrey Partridge et al","alone"
"00/2006_12/2006","Kathmandu_valley","NPL","15-80",18,485020.309445054,485020.309445054,"Jeffrey Partridge et al","alone"
"00/2007_12/2007","Non_Kathmandu","NPL","00-00",6,7360.77946584806,7360.77946584806,"Anuj Bhattachan et al","alone"
"00/2007_12/2007","Non_Kathmandu","NPL","01-14",67,108667.029871189,108667.029871189,"Anuj Bhattachan et al","alone"
"00/2007_12/2007","Non_Kathmandu","NPL","15-80",71,183132.475438375,183132.475438375,"Anuj Bhattachan et al","alone"
"05/2004_04/2006","Non_Western_Terai","NPL","00-00",10,534626.608932715,534626.608932715,"Thomas F. Wierzba et al","alone"
"05/2004_04/2006","Non_Western_Terai","NPL","01-04",35,2243223.08043518,2243223.08043518,"Thomas F. Wierzba et al","alone"
"05/2004_04/2006","Non_Western_Terai","NPL","05-14",164,5393102.43891403,5393102.43891403,"Thomas F. Wierzba et al","alone"
"05/2004_04/2006","Non_Western_Terai","NPL","15-19",35,2129504.61575923,2129504.61575923,"Thomas F. Wierzba et al","alone"
"05/2004_04/2006","Non_Western_Terai","NPL","20-34",47,4680381.25971565,4680381.25971565,"Thomas F. Wierzba et al","alone"
"05/2004_04/2006","Non_Western_Terai","NPL","35-70",44,5172988.23140386,5172988.23140386,"Thomas F. Wierzba et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","01-03",2,24094.6239799201,24094.6239799201,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","04-06",17,21662.164706967,21662.164706967,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","07-09",24,19592.0899276094,19592.0899276094,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","10-12",23,17769.002268916,17769.002268916,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","13-15",18,16158.6798516874,16158.6798516874,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","16-18",5,14717.6012182318,14717.6012182318,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","19-21",6,13369.1053715743,13369.1053715743,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","22-24",4,12158.992379757,12158.992379757,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","25-27",2,11231.213451664,11231.213451664,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","28-30",6,10491.9610474339,10491.9610474339,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","31-33",4,9974.06139742652,9974.06139742652,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","34-36",6,8557.2072402582,8557.2072402582,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","37-39",2,6858.047501995,6858.047501995,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","40-42",0,6529.62854393472,6529.62854393472,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","43-44",3,4239.82452022892,4239.82452022892,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","45-47",0,5849.22125200264,5849.22125200264,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","48-50",0,5275.38171789393,5275.38171789393,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","51-54",2,6147.60527738223,6147.60527738223,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","55-57",2,4118.64517353385,4118.64517353385,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","58-60",4,3689.99584268713,3689.99584268713,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","61-63",0,3164.51981326481,3164.51981326481,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","64-66",0,2620.81490103962,2620.81490103962,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","67-69",2,2082.87772126377,2082.87772126377,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","70-72",0,1616.75949146832,1616.75949146832,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","73-74",0,840.693288765198,840.693288765198,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","75-78",0,1165.03923082421,1165.03923082421,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","79-81",0,275.657735397698,275.657735397698,"J D McCallum et al","alone"
"08/1986_10/1986","Southeastern_Npl_Koshi_1986","NPL","82-99",2,734.39469178945,734.39469178945,"J D McCallum et al","alone"
"00/2011_04/2014","Philippines_2011_2014","PHL","00-01",9,15132280.6666667,15132280.6666667,"Anna Lena Lopez et al","alone"
"00/2011_04/2014","Philippines_2011_2014","PHL","02-04",11,22120095.3333333,22120095.3333333,"Anna Lena Lopez et al","alone"
"00/2011_04/2014","Philippines_2011_2014","PHL","05-09",16,35459314.3333333,35459314.3333333,"Anna Lena Lopez et al","alone"
"00/2011_04/2014","Philippines_2011_2014","PHL","10-14",19,34562132,34562132,"Anna Lena Lopez et al","alone"
"00/2011_04/2014","Philippines_2011_2014","PHL","15-18",7,26910306,26910306,"Anna Lena Lopez et al","alone"
"00/2011_04/2014","Philippines_2011_2014","PHL","19-99",11,189808902,189808902,"Anna Lena Lopez et al","alone"
"07/2003_08/2005","2_hospitals_BK_Haiyan","THA","00-04",4,1121729.03849188,225329.759723855,"Sonja J. Olsen et al","alone"
"07/2003_08/2005","2_hospitals_BK_Haiyan","THA","05-09",2,1234655.69957418,141375.634387491,"Sonja J. Olsen et al","alone"
"07/2003_08/2005","2_hospitals_BK_Haiyan","THA","10-14",4,1323905.77591086,769903.701979883,"Sonja J. Olsen et al","alone"
"07/2003_08/2005","2_hospitals_BK_Haiyan","THA","15-19",5,1347687.646667,1308068.11892666,"Sonja J. Olsen et al","alone"
"07/2003_08/2005","2_hospitals_BK_Haiyan","THA","20-24",0,1385098.25516136,1385098.25516136,"Sonja J. Olsen et al","alone"
"07/2003_08/2005","2_hospitals_BK_Haiyan","THA","25-29",2,1396202.43015144,1396202.43015144,"Sonja J. Olsen et al","alone"
"07/2003_08/2005","2_hospitals_BK_Haiyan","THA","30-34",1,1457428.32807729,1457428.32807729,"Sonja J. Olsen et al","alone"
"07/2003_08/2005","2_hospitals_BK_Haiyan","THA","35-39",0,1490410.10292939,1490410.10292939,"Sonja J. Olsen et al","alone"
"07/2003_08/2005","2_hospitals_BK_Haiyan","THA","40-44",1,1382288.85782629,1382288.85782629,"Sonja J. Olsen et al","alone"
"07/2003_08/2005","2_hospitals_BK_Haiyan","THA","45-49",1,1245386.41644128,1245386.41644128,"Sonja J. Olsen et al","alone"
"07/2003_08/2005","2_hospitals_BK_Haiyan","THA","50-54",0,984269.383132712,984269.383132712,"Sonja J. Olsen et al","alone"
"07/2003_08/2005","2_hospitals_BK_Haiyan","THA","55-59",2,721011.909182605,721011.909182605,"Sonja J. Olsen et al","alone"
"07/2003_08/2005","2_hospitals_BK_Haiyan","THA","60-99",0,1845303.75080154,1845303.75080154,"Sonja J. Olsen et al","alone"
"08/2007_04/2010","13_hospitals_Vietnam","VNM","00-00",2,740727.709306713,740727.709306713,"Nghia Ho Dang Trung et al","alone"
"08/2007_04/2010","13_hospitals_Vietnam","VNM","01-04",54,2702607.45587905,1519128.87580892,"Nghia Ho Dang Trung et al","alone"
"08/2007_04/2010","13_hospitals_Vietnam","VNM","05-14",86,6820233.12617365,4937632.1322032,"Nghia Ho Dang Trung et al","alone"
"08/2007_04/2010","13_hospitals_Vietnam","VNM","15-29",9,12252181.5718242,12252181.5718242,"Nghia Ho Dang Trung et al","alone"
"08/2007_04/2010","13_hospitals_Vietnam","VNM","30-44",2,9439742.61562856,9439742.61562856,"Nghia Ho Dang Trung et al","alone"
