"Year","subnation","ISO","Age_group","Case_Sero","Naive_pop_all_age_year_sum","Pop_all_age_year_sum","Reference","Study_type"
"08/2007_04/2010","13_hospitals_Vietnam","VNM","45-59",0,6224042.29882552,6224042.29882552,"Nghia Ho Dang Trung et al","alone"
"08/2007_04/2010","13_hospitals_Vietnam","VNM","60-99",0,3648261.28066254,3648261.28066254,"Nghia Ho Dang Trung et al","alone"
"00/2004_12/2005","5_provinces_VN","VNM","00-00",6,340671.224491608,340671.224491608,"Nguyen Thu Yen et al","alone"
"00/2004_12/2005","5_provinces_VN","VNM","01-05",47,1526157.63942686,776680.434517968,"Nguyen Thu Yen et al","alone"
"00/2004_12/2005","5_provinces_VN","VNM","06-10",68,1799418.57289614,778576.022566974,"Nguyen Thu Yen et al","alone"
"00/2004_12/2005","5_provinces_VN","VNM","11-15",77,2129620.3177011,1959237.1177011,"Nguyen Thu Yen et al","alone"
"00/2004_12/2005","5_provinces_VN","VNM","16-99",19,13665004.1642283,13665004.1642283,"Nguyen Thu Yen et al","alone"
NA,"W_Tera","NPL","00-00",4,93762.1184115977,93762.1184115977,NA,"cohort_agg"
NA,"W_Tera","NPL","00-05",326,255888.099164029,255888.099164029,NA,"cohort_agg"
NA,"W_Tera","NPL","01-04",89,393413.542418468,382385.275751801,NA,"cohort_agg"
NA,"W_Tera","NPL","05-14",230,945835.282109899,95217.6814480564,NA,"cohort_agg"
NA,"W_Tera","NPL","06-15",785,349669.491622232,349669.491622232,NA,"cohort_agg"
NA,"W_Tera","NPL","15-19",50,373469.746183152,195681.299837181,NA,"cohort_agg"
NA,"W_Tera","NPL","16-99",521,782048.864479413,782048.864479413,NA,"cohort_agg"
NA,"W_Tera","NPL","20-34",89,820839.169903927,767328.058792816,NA,"cohort_agg"
NA,"W_Tera","NPL","35-70",154,907231.939059234,907231.939059234,NA,"cohort_agg"
NA,"Nepal","NPL","00-00",247,15248752,14095974.8965896,NA,"cohort_agg"
NA,"Nepal","NPL","00-15",66,5001176.5,2101592.24288747,NA,"cohort_agg"
NA,"Nepal","NPL","01-04",932,64198650,39741909.3956458,NA,"cohort_agg"
NA,"Nepal","NPL","05-09",447,33313908,13907239.4804458,NA,"cohort_agg"
NA,"Nepal","NPL","05-14",2390,101051561,60146398.5981001,NA,"cohort_agg"
NA,"Nepal","NPL","10-14",351,33784948,11113265.5800045,NA,"cohort_agg"
NA,"Nepal","NPL","15-19",112,30204812,10869056.0784179,NA,"cohort_agg"
NA,"Nepal","NPL","15-99",2330,247775370,194331281.07414,NA,"cohort_agg"
NA,"Nepal","NPL","16-30",27,4008668,1419857.91975187,NA,"cohort_agg"
NA,"Nepal","NPL","20-24",83,24939094,13425365.9520724,NA,"cohort_agg"
NA,"Nepal","NPL","25-99",471,122272162,85543835.5582713,NA,"cohort_agg"
NA,"Nepal","NPL","31-45",17,2561448.5,1637185.52069054,NA,"cohort_agg"
NA,"Nepal","NPL","46-60",10,1623466,1041438.64381196,NA,"cohort_agg"
NA,"Nepal","NPL","61-75",11,933308,585451.000697274,NA,"cohort_agg"
NA,"Nepal","NPL","76-99",1,200074,77093.829483151,NA,"cohort_agg"
NA,"Guigang","CHN","00-00",9,282727.704872538,260626.021164189,NA,"cohort_agg"
NA,"Guigang","CHN","00-01",19,143933.111046732,101001.145771118,NA,"cohort_agg"
NA,"Guigang","CHN","01-01",19,280646.827511618,27418.1121341442,NA,"cohort_agg"
NA,"Guigang","CHN","02-02",27,279147.520423284,67132.8086663373,NA,"cohort_agg"
NA,"Guigang","CHN","02-04",54,211382.578109641,132771.942090115,NA,"cohort_agg"
NA,"Guigang","CHN","03-03",23,277481.932291221,98097.3446679185,NA,"cohort_agg"
NA,"Guigang","CHN","04-04",14,274229.951678598,115219.922113513,NA,"cohort_agg"
NA,"Guigang","CHN","05-05",11,270294.159319661,121231.893029593,NA,"cohort_agg"
NA,"Guigang","CHN","05-14",18,728316.827659879,52005.7558680313,NA,"cohort_agg"
NA,"Guigang","CHN","06-09",15,1062699.1594255,211466.894742499,NA,"cohort_agg"
NA,"Guigang","CHN","10-14",1,1411952.11212032,58793.3058030944,NA,"cohort_agg"
NA,"Guigang","CHN","15-29",2,1464712.93274735,1168375.92207563,NA,"cohort_agg"
NA,"Guigang","CHN","15-86",4,18728666.7914021,15755074.7539007,NA,"cohort_agg"
NA,"Guigang","CHN","30-44",0,1532515.65564914,1532515.65564914,NA,"cohort_agg"
NA,"Guigang","CHN","45-99",0,1763980.39894175,1763980.39894175,NA,"cohort_agg"
NA,"No_","CHN","00-05",42592,969878047.560141,969878047.560141,NA,"cohort_agg"
NA,"No_","CHN","06-15",38375,2185519875.15499,2185519875.15499,NA,"cohort_agg"
NA,"No_","CHN","16-25",3339,2030182959.69689,2030182959.69689,NA,"cohort_agg"
NA,"No_","CHN","26-99",5832,7137406088.36355,7137406088.36355,NA,"cohort_agg"
NA,"Longnan","CHN","00-09",89,2122137.10438728,1734491.17632528,NA,"cohort_agg"
NA,"Longnan","CHN","10-19",50,2699530.60411198,2585464.61827141,NA,"cohort_agg"
NA,"Longnan","CHN","20-29",15,2898231.57021253,2775769.67230072,NA,"cohort_agg"
NA,"Longnan","CHN","30-39",18,3038593.5035517,2910200.75148457,NA,"cohort_agg"
NA,"Longnan","CHN","40-49",13,2809754.36760639,2691030.986059,NA,"cohort_agg"
NA,"Longnan","CHN","50-59",15,2085641.97599538,1997515.24472587,NA,"cohort_agg"
NA,"Longnan","CHN","60-69",10,1193355.65597067,1142931.59737716,NA,"cohort_agg"
NA,"Longnan","CHN","70-79",2,691095.525630985,661893.970249087,NA,"cohort_agg"
NA,"Japan","JPN","00-04",32,247240714,194235126.6,NA,"cohort_agg"
NA,"Japan","JPN","05-09",22,266615940,119044505,NA,"cohort_agg"
NA,"Japan","JPN","10-14",1,95373352,30413144,NA,"cohort_agg"
NA,"Japan","JPN","10-19",5,401503694,259212729,NA,"cohort_agg"
NA,"Japan","JPN","15-19",2,101427192,35139460,NA,"cohort_agg"
NA,"Japan","JPN","20-24",0,110926737,49926622.3,NA,"cohort_agg"
NA,"Japan","JPN","20-29",8,422440635,358918338.5,NA,"cohort_agg"
NA,"Japan","JPN","25-29",1,123819980,61366729,NA,"cohort_agg"
NA,"Japan","JPN","30-34",1,141744802,85525080.5,NA,"cohort_agg"
NA,"Japan","JPN","30-39",21,425066509,424029965,NA,"cohort_agg"
NA,"Japan","JPN","35-39",1,147714634,119488493,NA,"cohort_agg"
NA,"Japan","JPN","40-44",5,140824163,134661636,NA,"cohort_agg"
NA,"Japan","JPN","40-49",43,438232838,438232838,NA,"cohort_agg"
NA,"Japan","JPN","45-49",5,129800260,129800260,NA,"cohort_agg"
NA,"Japan","JPN","50-54",3,132843340,132843340,NA,"cohort_agg"
NA,"Japan","JPN","50-59",57,405393522,405393522,NA,"cohort_agg"
NA,"Japan","JPN","55-59",5,145965451,145965451,NA,"cohort_agg"
NA,"Japan","JPN","60-64",8,146832241,146832241,NA,"cohort_agg"
NA,"Japan","JPN","60-69",76,303493728,303493728,NA,"cohort_agg"
NA,"Japan","JPN","65-69",15,131583806,131583806,NA,"cohort_agg"
NA,"Japan","JPN","70-74",8,110629549,110629549,NA,"cohort_agg"
NA,"Japan","JPN","70-79",69,189687407,189687407,NA,"cohort_agg"
NA,"Japan","JPN","75-79",13,90482536,90482536,NA,"cohort_agg"
NA,"Japan","JPN","80-84",3,64435268,64435268,NA,"cohort_agg"
NA,"Japan","JPN","80-99",38,86021070.9,86021070.9,NA,"cohort_agg"
NA,"Japan","JPN","85-89",7,36927821,36927821,NA,"cohort_agg"
NA,"Japan","JPN","90-99",1,21225911,21225911,NA,"cohort_agg"
NA,"S_Korean","KOR","00-09",5,102447612,30289570.6653846,NA,"cohort_agg"
NA,"S_Korean","KOR","10-19",5,129135679,36702316.0961538,NA,"cohort_agg"
NA,"S_Korean","KOR","20-29",10,143691749,622855.230769231,NA,"cohort_agg"
NA,"S_Korean","KOR","30-39",11,166458646,21691188.8461539,NA,"cohort_agg"
NA,"S_Korean","KOR","40-49",67,168172064,118924987.692308,NA,"cohort_agg"
NA,"S_Korean","KOR","50-59",87,129882171,129882171,NA,"cohort_agg"
NA,"S_Korean","KOR","60-69",15,26949699,26949699,NA,"cohort_agg"
NA,"S_Korean","KOR","60-99",26,97736317,97736317,NA,"cohort_agg"
NA,"S_Korean","KOR","70-99",22,23474492,23474492,NA,"cohort_agg"
NA,"Gorakhpur_div","IND","00-01",21,1151164.65746921,1151164.65746921,NA,"cohort_agg"
NA,"Gorakhpur_div","IND","00-04",257,7091101.99946304,1463761.42052733,NA,"cohort_agg"
NA,"Gorakhpur_div","IND","02-03",192,571391.438560824,571391.438560824,NA,"cohort_agg"
NA,"Gorakhpur_div","IND","02-05",74,1141443.72508559,286114.272017766,NA,"cohort_agg"
NA,"Gorakhpur_div","IND","04-04",3,94279.5025897487,94279.5025897487,NA,"cohort_agg"
NA,"Gorakhpur_div","IND","04-06",284,842540.578766773,842540.578766773,NA,"cohort_agg"
NA,"Gorakhpur_div","IND","05-05",1,93620.5342274591,93620.5342274591,NA,"cohort_agg"
NA,"Gorakhpur_div","IND","05-09",232,7052633.80401754,1764.74795458891,NA,"cohort_agg"
NA,"Gorakhpur_div","IND","06-06",3,92946.8227717167,92946.8227717167,NA,"cohort_agg"
NA,"Gorakhpur_div","IND","06-10",56,1401553.03788227,100,NA,"cohort_agg"
NA,"Gorakhpur_div","IND","07-07",3,92260.992493156,92260.992493156,NA,"cohort_agg"
NA,"Gorakhpur_div","IND","07-10",214,1094464.41181944,1094464.41181944,NA,"cohort_agg"
NA,"Gorakhpur_div","IND","08-08",8,91565.671348185,91565.671348185,NA,"cohort_agg"
NA,"Gorakhpur_div","IND","10-10",1,90131.323157702,90131.323157702,NA,"cohort_agg"
NA,"Gorakhpur_div","IND","10-14",122,6862070.32416642,100,NA,"cohort_agg"
NA,"Gorakhpur_div","IND","11-11",1,89346.0912573087,89346.0912573087,NA,"cohort_agg"
NA,"Gorakhpur_div","IND","11-14",223,2148911.18804386,1060890.16172809,NA,"cohort_agg"
NA,"Gorakhpur_div","IND","12-12",1,88639.0567245894,88639.0567245894,NA,"cohort_agg"
NA,"Gorakhpur_div","IND","15-99",467,64752553.7617698,58654288.6769017,NA,"cohort_agg"
NA,"Uttar_Pradesh","IND","00-01",0,2095659.63228287,2095659.63228287,NA,"cohort_agg"
NA,"Uttar_Pradesh","IND","00-04",85,60564570.3418538,50499360.6620344,NA,"cohort_agg"
NA,"Uttar_Pradesh","IND","02-04",13,3094130.16087845,3094130.16087845,NA,"cohort_agg"
NA,"Uttar_Pradesh","IND","05-08",38,4024843.60170929,4024843.60170929,NA,"cohort_agg"
NA,"Uttar_Pradesh","IND","05-14",238,121742540.442392,37884877.1101868,NA,"cohort_agg"
NA,"Uttar_Pradesh","IND","09-12",26,3900813.97838661,3900813.97838661,NA,"cohort_agg"
NA,"Uttar_Pradesh","IND","15-99",137,424684497.501077,386923729.142526,NA,"cohort_agg"
NA,"Tamil","IND","00-00",5,647342.075071077,647342.075071077,NA,"cohort_agg"
NA,"Tamil","IND","00-01",2,9028630.15664192,8223157.02330859,NA,"cohort_agg"
NA,"Tamil","IND","01-01",5,636868.083708831,636868.083708831,NA,"cohort_agg"
NA,"Tamil","IND","02-02",14,627837.218747462,627837.218747462,NA,"cohort_agg"
NA,"Tamil","IND","02-05",13,17927585.7311481,15402110.2644815,NA,"cohort_agg"
NA,"Tamil","IND","03-03",14,620240.34258697,620240.34258697,NA,"cohort_agg"
NA,"Tamil","IND","04-04",33,614381.217264445,614381.217264445,NA,"cohort_agg"
NA,"Tamil","IND","05-05",26,608634.194965968,608634.194965968,NA,"cohort_agg"
NA,"Tamil","IND","06-06",13,603324.588966367,603324.588966367,NA,"cohort_agg"
NA,"Tamil","IND","06-12",8,30455326.2841124,26035744.2174458,NA,"cohort_agg"
NA,"Tamil","IND","07-07",16,598281.395884034,598281.395884034,NA,"cohort_agg"
NA,"Tamil","IND","08-08",10,593350.325792258,593350.325792258,NA,"cohort_agg"
NA,"Tamil","IND","09-09",11,588462.220299652,588462.220299652,NA,"cohort_agg"
NA,"Tamil","IND","10-10",7,583455.097909863,583455.097909863,NA,"cohort_agg"
NA,"Tamil","IND","11-11",7,577716.403285141,577716.403285141,NA,"cohort_agg"
NA,"Tamil","IND","12-12",8,570963.506375069,570963.506375069,NA,"cohort_agg"
NA,"Tamil","IND","13-13",7,13500.0053248865,13500.0053248865,NA,"cohort_agg"
NA,"Tamil","IND","13-18",0,24855854.039214,23135851.7058806,NA,"cohort_agg"
NA,"Tamil","IND","14-14",1,13227.4047731142,13227.4047731142,NA,"cohort_agg"
NA,"Tamil","IND","15-15",0,12947.946240513,12947.946240513,NA,"cohort_agg"
NA,"Tamil","IND","16-99",1,365163.518431381,365163.518431381,NA,"cohort_agg"
NA,"Tamil","IND","19-99",5,125461589.401491,125461589.401491,NA,"cohort_agg"
NA,"Assam","IND","01-06",45,8223183.44153008,8223183.44153008,NA,"cohort_agg"
NA,"Assam","IND","07-12",64,7802252.68107069,7802252.68107069,NA,"cohort_agg"
NA,"Assam","IND","13-20",20,9637715.9463923,9637715.9463923,NA,"cohort_agg"
NA,"Assam","IND","21-40",32,17575410.8927823,17575410.8927823,NA,"cohort_agg"
NA,"Assam","IND","41-60",18,9749066.09044579,9749066.09044579,NA,"cohort_agg"
NA,"Assam","IND","61-99",8,3745475.90845416,3745475.90845416,NA,"cohort_agg"
NA,"Taiwan","TWN","00-09",188,146323700,27072189.35,NA,"cohort_agg"
NA,"Taiwan","TWN","00-19",20,85392833,4721347.05,NA,"cohort_agg"
NA,"Taiwan","TWN","10-19",68,158922912,61851395.85,NA,"cohort_agg"
NA,"Taiwan","TWN","20-29",47,144362278,77386793.25,NA,"cohort_agg"
NA,"Taiwan","TWN","20-39",133,110525534,11825566.85,NA,"cohort_agg"
NA,"Taiwan","TWN","30-39",67,121554639,84489848.7,NA,"cohort_agg"
NA,"Taiwan","TWN","40-49",78,40801466,28293411.8,NA,"cohort_agg"
NA,"Taiwan","TWN","40-59",178,97024529,78542349,NA,"cohort_agg"
NA,"Taiwan","TWN","40-99",2,145439828.05,145439828.05,NA,"cohort_agg"
NA,"Taiwan","TWN","50-59",69,31239197,31239197,NA,"cohort_agg"
NA,"Taiwan","TWN","60-99",85,83014822,83014822,NA,"cohort_agg"
NA,"Taipei ","TWN","00-00",0,1480267.37217241,74013.3686086203,NA,"cohort_agg"
NA,"Taipei ","TWN","01-01",0,1507806.19108399,75343.0370264682,NA,"cohort_agg"
NA,"Taipei ","TWN","02-02",0,1537182.99024985,82549.6037791584,NA,"cohort_agg"
NA,"Taipei ","TWN","03-03",0,1578555.61692431,84017.6242449553,NA,"cohort_agg"
NA,"Taipei ","TWN","04-04",0,1619636.47984015,85392.002400763,NA,"cohort_agg"
NA,"Taipei ","TWN","05-09",0,8736432.37791038,521520.227322869,NA,"cohort_agg"
NA,"Taipei ","TWN","10-14",1,9828047.75275251,662687.082731091,NA,"cohort_agg"
NA,"Taipei ","TWN","15-19",2,10888798.9246728,518558.973026011,NA,"cohort_agg"
NA,"Taipei ","TWN","20-24",5,11558899.7803664,433148.155464204,NA,"cohort_agg"
NA,"Taipei ","TWN","25-29",3,11889097.171505,866338.169828013,NA,"cohort_agg"
NA,"Taipei ","TWN","30-34",6,12416383.6101018,1200754.32363444,NA,"cohort_agg"
NA,"Taipei ","TWN","35-39",7,12396026.8452442,3469208.24867042,NA,"cohort_agg"
NA,"Taipei ","TWN","40-44",5,12048264.4872852,6289508.35238649,NA,"cohort_agg"
NA,"Taipei ","TWN","45-49",14,11668374.2739093,8316064.14862798,NA,"cohort_agg"
NA,"Taipei ","TWN","50-54",8,10211361.5904133,9470731.11738674,NA,"cohort_agg"
NA,"Taipei ","TWN","55-59",2,8303422.76094711,8303422.76094711,NA,"cohort_agg"
NA,"Taipei ","TWN","60-64",3,6494909.00349055,6494909.00349055,NA,"cohort_agg"
NA,"Taipei ","TWN","65-69",2,4890844.75714179,4890844.75714179,NA,"cohort_agg"
NA,"Taipei ","TWN","70-99",6,10413356.0803449,10413356.0803449,NA,"cohort_agg"
NA,"Northern ","TWN","00-00",0,725277.853646932,36263.8926823466,NA,"cohort_agg"
NA,"Northern ","TWN","01-01",0,738770.885951533,37119.3968212445,NA,"cohort_agg"
NA,"Northern ","TWN","02-02",0,753164.462575976,40701.3593221308,NA,"cohort_agg"
NA,"Northern ","TWN","03-03",0,773435.563890705,41471.6402226158,NA,"cohort_agg"
NA,"Northern ","TWN","04-04",0,793563.711441397,42145.0361628915,NA,"cohort_agg"
NA,"Northern ","TWN","05-09",1,4280538.12621928,255526.182780807,NA,"cohort_agg"
NA,"Northern ","TWN","10-14",0,4815390.45827573,324692.872408171,NA,"cohort_agg"
NA,"Northern ","TWN","15-19",2,5335120.4392823,254075.274518622,NA,"cohort_agg"
NA,"Northern ","TWN","20-24",6,5663445.79420191,212227.041149439,NA,"cohort_agg"
NA,"Northern ","TWN","25-29",3,5825230.65795485,424474.591656467,NA,"cohort_agg"
NA,"Northern ","TWN","30-34",3,6083582.0771862,588326.497614264,NA,"cohort_agg"
NA,"Northern ","TWN","35-39",5,6073607.99344925,1699787.45715194,NA,"cohort_agg"
NA,"Northern ","TWN","40-44",6,5903216.92673979,3081633.22658309,NA,"cohort_agg"
NA,"Northern ","TWN","45-49",4,5717084.36463756,4074572.78995177,NA,"cohort_agg"
NA,"Northern ","TWN","50-54",6,5003200.47332984,4640318.13874598,NA,"cohort_agg"
NA,"Northern ","TWN","55-59",5,4068378.96396016,4068378.96396016,NA,"cohort_agg"
NA,"Northern ","TWN","60-64",3,3182272.1693653,3182272.1693653,NA,"cohort_agg"
NA,"Northern ","TWN","65-69",1,2396338.29311142,2396338.29311142,NA,"cohort_agg"
NA,"Northern ","TWN","70-99",6,5102170.5194581,5102170.5194581,NA,"cohort_agg"
NA,"Central ","TWN","00-00",1,861636.72137006,43081.836068503,NA,"cohort_agg"
NA,"Central ","TWN","01-01",1,877666.567115131,44022.979150202,NA,"cohort_agg"
NA,"Central ","TWN","02-02",0,894766.267745879,48259.582436944,NA,"cohort_agg"
NA,"Central ","TWN","03-03",0,918848.521447074,49155.8822751189,NA,"cohort_agg"
NA,"Central ","TWN","04-04",0,942760.944769562,49955.882809046,NA,"cohort_agg"
NA,"Central ","TWN","05-09",0,5085318.43103896,303567.44142727,NA,"cohort_agg"
NA,"Central ","TWN","10-14",0,5720727.89169319,385738.101097728,NA,"cohort_agg"
NA,"Central ","TWN","15-19",5,6338171.86103603,301843.749146096,NA,"cohort_agg"
NA,"Central ","TWN","20-24",13,6728225.38456925,252127.665283835,NA,"cohort_agg"
NA,"Central ","TWN","25-29",9,6920427.28191168,504279.695872002,NA,"cohort_agg"
NA,"Central ","TWN","30-34",21,7227351.13007342,698937.258252831,NA,"cohort_agg"
NA,"Central ","TWN","35-39",9,7215501.82740057,2019363.04030499,NA,"cohort_agg"
NA,"Central ","TWN","40-44",18,7013075.68225903,3661008.44864716,NA,"cohort_agg"
NA,"Central ","TWN","45-49",9,6791948.49666589,4840629.72840582,NA,"cohort_agg"
NA,"Central ","TWN","50-54",11,5943847.90673015,5512740.3754003,NA,"cohort_agg"
NA,"Central ","TWN","55-59",7,4833271.40649744,4833271.40649744,NA,"cohort_agg"
NA,"Central ","TWN","60-64",1,3780568.43281735,3780568.43281735,NA,"cohort_agg"
NA,"Central ","TWN","65-69",4,2846871.80201036,2846871.80201036,NA,"cohort_agg"
NA,"Central ","TWN","70-99",4,6061425.22641668,6061425.22641668,NA,"cohort_agg"
NA,"Southern ","TWN","00-00",0,627839.966174952,31391.9983087476,NA,"cohort_agg"
NA,"Southern ","TWN","01-01",1,639520.268976314,32186.307471395,NA,"cohort_agg"
NA,"Southern ","TWN","02-02",1,651980.131931713,35300.4836354491,NA,"cohort_agg"
NA,"Southern ","TWN","03-03",0,669527.900004008,35980.7152470613,NA,"cohort_agg"
NA,"Southern ","TWN","04-04",0,686951.919521283,36563.6434065785,NA,"cohort_agg"
NA,"Southern ","TWN","05-09",0,3705466.66889457,221197.364771617,NA,"cohort_agg"
NA,"Southern ","TWN","10-14",0,4168463.94418486,281071.814070902,NA,"cohort_agg"
NA,"Southern ","TWN","15-19",2,4618370.48973081,219941.379648574,NA,"cohort_agg"
NA,"Southern ","TWN","20-24",6,4902586.77827539,183715.272245908,NA,"cohort_agg"
NA,"Southern ","TWN","25-29",6,5042636.55764685,367448.29850748,NA,"cohort_agg"
NA,"Southern ","TWN","30-34",11,5266279.6007866,509287.422061257,NA,"cohort_agg"
NA,"Southern ","TWN","35-39",14,5257645.49130077,1471428.49355827,NA,"cohort_agg"
NA,"Southern ","TWN","40-44",16,5110145.71446151,2667629.36578426,NA,"cohort_agg"
NA,"Southern ","TWN","45-49",15,4949019.24285245,3527171.86903935,NA,"cohort_agg"
NA,"Southern ","TWN","50-54",22,4331042.51032468,4016911.82023812,NA,"cohort_agg"
NA,"Southern ","TWN","55-59",15,3521810.15630883,3521810.15630883,NA,"cohort_agg"
NA,"Southern ","TWN","60-64",3,2754747.90954587,2754747.90954587,NA,"cohort_agg"
NA,"Southern ","TWN","65-69",4,2074400.79043585,2074400.79043585,NA,"cohort_agg"
NA,"Southern ","TWN","70-99",7,4416716.36635249,4416716.36635249,NA,"cohort_agg"
NA,"Kaoping ","TWN","00-00",0,714795.100416814,35739.7550208407,NA,"cohort_agg"
NA,"Kaoping ","TWN","01-01",0,728093.112113431,36588.675562212,NA,"cohort_agg"
NA,"Kaoping ","TWN","02-02",0,742278.652174929,40120.3117592276,NA,"cohort_agg"
NA,"Kaoping ","TWN","03-03",0,762256.766530638,40880.9048011363,NA,"cohort_agg"
NA,"Kaoping ","TWN","04-04",0,782093.993294638,41544.5678598238,NA,"cohort_agg"
NA,"Kaoping ","TWN","05-09",0,4218669.66485149,251832.952793904,NA,"cohort_agg"
NA,"Kaoping ","TWN","10-14",1,4745791.54576662,319999.94646273,NA,"cohort_agg"
NA,"Kaoping ","TWN","15-19",5,5258009.6454855,250403.015133807,NA,"cohort_agg"
NA,"Kaoping ","TWN","20-24",6,5581589.57262525,209159.632307516,NA,"cohort_agg"
NA,"Kaoping ","TWN","25-29",10,5741036.090054,418339.477542041,NA,"cohort_agg"
NA,"Kaoping ","TWN","30-34",9,5995653.44493906,579823.16132429,NA,"cohort_agg"
NA,"Kaoping ","TWN","35-39",10,5985823.52093068,1675219.69685514,NA,"cohort_agg"
NA,"Kaoping ","TWN","40-44",9,5817895.18970384,3037093.05415459,NA,"cohort_agg"
NA,"Kaoping ","TWN","45-49",14,5634452.88169773,4015681.23430804,NA,"cohort_agg"
NA,"Kaoping ","TWN","50-54",19,4930887.06177452,4573249.62188293,NA,"cohort_agg"
NA,"Kaoping ","TWN","55-59",8,4009576.93035145,4009576.93035145,NA,"cohort_agg"
NA,"Kaoping ","TWN","60-64",5,3136277.41894684,3136277.41894684,NA,"cohort_agg"
NA,"Kaoping ","TWN","65-69",3,2361702.98354522,2361702.98354522,NA,"cohort_agg"
NA,"Kaoping ","TWN","70-99",5,5028426.65119503,5028426.65119503,NA,"cohort_agg"
NA,"Eastern ","TWN","00-00",0,99647.9749511804,4982.39874755902,NA,"cohort_agg"
NA,"Eastern ","TWN","01-01",0,101501.820809486,5444.98174908709,NA,"cohort_agg"
NA,"Eastern ","TWN","02-02",1,103479.394998079,6023.37842192714,NA,"cohort_agg"
NA,"Eastern ","TWN","03-03",0,106264.498921887,6215.47020998592,NA,"cohort_agg"
NA,"Eastern ","TWN","04-04",0,109029.962023869,6307.98998216896,NA,"cohort_agg"
NA,"Eastern ","TWN","05-09",1,588115.235884089,35107.4647227652,NA,"cohort_agg"
NA,"Eastern ","TWN","10-14",0,661600.110017978,44610.471771425,NA,"cohort_agg"
NA,"Eastern ","TWN","15-19",1,733007.281584438,34908.1203343496,NA,"cohort_agg"
NA,"Eastern ","TWN","20-24",1,778116.830398531,29158.4732307536,NA,"cohort_agg"
NA,"Eastern ","TWN","25-29",2,800344.910257399,58319.7643001339,NA,"cohort_agg"
NA,"Eastern ","TWN","30-34",4,835840.542204132,80831.8409318493,NA,"cohort_agg"
NA,"Eastern ","TWN","35-39",4,834470.174638953,233538.604689096,NA,"cohort_agg"
NA,"Eastern ","TWN","40-44",6,811059.664222852,423394.301959155,NA,"cohort_agg"
NA,"Eastern ","TWN","45-49",7,785486.385247493,559817.075991306,NA,"cohort_agg"
NA,"Eastern ","TWN","50-54",7,687403.858997197,637546.429041201,NA,"cohort_agg"
NA,"Eastern ","TWN","55-59",6,558966.088725997,558966.088725997,NA,"cohort_agg"
NA,"Eastern ","TWN","60-64",5,437221.370852889,437221.370852889,NA,"cohort_agg"
NA,"Eastern ","TWN","65-69",0,329239.693457902,329239.693457902,NA,"cohort_agg"
NA,"Eastern ","TWN","70-99",4,701001.633461034,701001.633461034,NA,"cohort_agg"
NA,"Malaysia","MYS","00-04",30,19567959,18353642.7090497,NA,"cohort_agg"
NA,"Malaysia","MYS","05-15",75,47435606,45485769.0804506,NA,"cohort_agg"
NA,"Malaysia","MYS","16-24",20,40314030,40314030,NA,"cohort_agg"
NA,"Malaysia","MYS","25-59",35,98256634,98256634,NA,"cohort_agg"
NA,"Malaysia","MYS","60-99",6,17536231,17536231,NA,"cohort_agg"
NA,"Srilanka","LKA","00-00",5,1828817,428016.890108729,NA,"cohort_agg"
NA,"Srilanka","LKA","01-04",17,7133412,1527267.21137078,NA,"cohort_agg"
NA,"Srilanka","LKA","05-09",6,8380004,1827395.75363394,NA,"cohort_agg"
NA,"Srilanka","LKA","10-14",10,8107863,1474250.68618403,NA,"cohort_agg"
NA,"Srilanka","LKA","15-19",8,8185371,1951019.00653394,NA,"cohort_agg"
NA,"Srilanka","LKA","20-24",16,8285382,6723022.60758964,NA,"cohort_agg"
NA,"Srilanka","LKA","25-29",6,8330838,8330838,NA,"cohort_agg"
NA,"Srilanka","LKA","30-34",14,7699307,7699307,NA,"cohort_agg"
NA,"Srilanka","LKA","35-39",5,6959485,6959485,NA,"cohort_agg"
NA,"Srilanka","LKA","40-44",5,6721350,6721350,NA,"cohort_agg"
NA,"Srilanka","LKA","45-49",11,6355976,6355976,NA,"cohort_agg"
NA,"Srilanka","LKA","50-54",12,5669039,5669039,NA,"cohort_agg"
NA,"Srilanka","LKA","55-59",7,4916682,4916682,NA,"cohort_agg"
NA,"Srilanka","LKA","60-99",23,11126685,11126685,NA,"cohort_agg"
